Protein	LB	Root ECM	Root no ECM	Leaves ECM	Leaves no ECM	Xylem Sap
Potri.001G236400.2.p	0	1	0	0	0	0
B0DAU3	0	1	0	0	0	0
Potri.009G061600.1.p	0	1	0	0	0	0
Potri.010G181200.1.p	0	1	0	0	0	0
Potri.001G269600.1.p	0	1	0	0	0	0
B0DA94	0	1	0	0	0	0
Potri.003G086200.1.p	0	0	0	0	0	0
B0D477	0	1	0	0	0	0
Potri.006G060600.1.p	0	1	0	0	0	0
B0D3Q3	0	1	0	0	0	0
B0D888	0	1	0	0	0	0
B0D3J0	0	1	0	0	0	0
B0DFC4	0	1	0	0	0	0
B0DKF3	0	1	0	0	0	0
B0DCR0	0	1	0	0	0	0
B0DAS4	0	1	1	0	0	0
B0DKP3	0	1	0	0	0	0
B0CPP7	0	1	0	0	0	0
Potri.006G260200.4.p	0	1	0	0	0	0
B0CPC3	0	1	0	0	0	0
Potri.005G044800.2.p	0	1	0	0	0	0
B0CSJ6	0	1	0	0	0	0
B0DZ10	0	1	0	0	0	0
Potri.009G015400.2.p	0	1	0	0	0	0
Potri.005G145300.1.p	0	1	0	0	0	0
Potri.014G195700.1.p	0	1	0	0	0	0
Potri.009G062200.2.p	0	1	1	0	0	0
Potri.008G084400.1.p	0	1	0	0	1	0
B0DXX4	0	1	0	0	0	0
Potri.001G468100.1.p	0	0	0	1	1	0
Potri.016G071500.1.p	0	1	1	0	1	0
Potri.016G091600.1.p	0	1	0	0	0	0
B0CUH8	0	1	0	0	0	0
Potri.001G059900.1.p	0	1	0	0	0	0
Potri.006G085200.2.p	0	1	1	0	0	0
Potri.014G122800.2.p	0	1	1	0	0	0
B0CZL6	0	1	0	0	0	0
Potri.014G176100.1.p	0	0	0	0	0	0
Potri.013G131200.2.p	0	1	1	0	0	0
Potri.018G119500.1.p	0	1	1	1	1	0
B0DD70	0	1	1	0	0	0
B0E4H9	0	1	0	0	0	0
Potri.009G018600.1.p	0	1	1	0	0	0
B0DQH5	0	1	0	0	0	0
Potri.014G177500.1.p	0	1	0	1	1	0
B0CSQ7	0	1	1	0	0	0
B0DLI9	0	1	0	0	0	0
Potri.005G248100.1.p	0	1	1	0	0	1
B0D3B2	0	1	0	0	0	0
Potri.009G089300.1.p	0	1	0	1	1	0
B0D934	0	1	0	0	0	0
B0D7M5	0	1	0	0	0	0
Potri.008G030550.2.p	0	1	0	1	1	0
B0CQ42	0	1	0	0	0	0
B0DQ55	0	1	0	0	0	0
Potri.010G033500.1.p	0	1	0	0	0	0
Potri.010G206600.1.p	0	1	0	0	0	0
Potri.002G000600.1.p	0	1	0	0	0	0
Potri.005G146800.1.p	0	1	0	0	1	0
Potri.010G205700.1.p	0	1	0	0	0	0
Potri.010G074000.2.p	0	1	0	0	0	0
Potri.010G171500.1.p	0	1	0	1	1	0
B0DTQ8	0	0	0	0	0	0
Potri.011G025200.1.p	0	1	0	0	0	0
Potri.011G031300.1.p	0	1	0	1	1	0
Potri.017G014800.1.p	0	1	0	0	1	0
Potri.015G034700.1.p	0	1	1	0	0	0
B0CPP0	0	0	1	0	0	0
Potri.010G074000.3.p	0	0	1	0	0	0
B0DG13	0	0	1	0	0	0
B0DKZ4	0	0	1	0	0	0
Potri.006G138600.3.p	0	0	1	1	1	0
B0CR41	0	0	1	0	0	0
Potri.008G060800.2.p	0	0	1	0	0	0
